Device Type;Brand Name;RAM;Storage Size;Screen Size;Cost;Supplier
Laptop;TECHNO;2;1000;16;494554;Cutti
Tablet;HP;1;30;6;149173;Alig-IT
Tablet;HP;2;150;6;143365;Yellow-Ko
Laptop;LENOVO;2;300;15;428776;Fill-Sol
Laptop;HP;3;300;16;451973;CC-Sly
Tablet;SAMSUNG;1;50;7;165619;Tex--y
Tablet;TECHNO;3;150;6;125486;Adams
Tablet;LENOVO;3;30;9;71001;Jumbo
Tablet;SHARP;4;50;8;194488;Jumbo
Tablet;TECHNO;3;50;6;79206;Bold-Sol
Laptop;SONY;6;350;16;321767;Bold-Sol
Tablet;HP;5;30;7;89925;Fill-Sol
Laptop;SHARP;4;500;13;397673;K-Boys
Laptop;SONY;8;300;15;477997;Merget
Tablet;SAMSUNG;5;200;7;150967;Center-tech
Tablet;ACER;3;50;7;112459;K-Boys
Tablet;HP;4;30;8;132059;CompSer
Laptop;HP;2;300;15;412586;Jumbo
Tablet;TECHNO;1;50;8;193742;BootStrap
Tablet;SONY;3;30;8;157982;Yellow-Ko
Laptop;ASUS;7;300;10;441360;Cler-IT
Laptop;ASUS;6;500;14;305446;Cutti
Laptop;SAMSUNG;2;500;14;487684;Oshod-Connect
Tablet;ASUS;4;30;7;143527;BootStrap
Laptop;SHARP;2;750;12;355065;Tex--y
Tablet;ACER;4;50;9;110360;CompSer
Tablet;ASUS;4;200;6;89079;Bold-Sol
Laptop;DELL;7;250;17;201930;Cler-IT
Laptop;TECHNO;4;1000;14;229093;Cler-IT
Laptop;DELL;5;350;16;275179;Shyles
Laptop;DELL;7;750;17;338095;Mat-IT
Laptop;TECHNO;3;250;14;446600;Cler-IT
Laptop;SHARP;5;350;14;235001;Cler-IT
Laptop;SONY;6;500;10;412022;Jumbo
Tablet;SONY;4;30;6;73420;CC-Sly
Laptop;SAMSUNG;5;250;11;262850;Adams
Laptop;ACER;2;350;11;207191;Merget
Tablet;SHARP;2;30;6;51258;Insert-Media
Laptop;SONY;7;300;12;244416;Mat-IT
Tablet;HP;4;200;8;132321;CompSer
Tablet;SAMSUNG;3;50;9;90849;Alig-IT
Laptop;TECHNO;6;1000;15;383190;Center-tech
Tablet;HP;1;30;6;197166;Yellow-Ko
Tablet;ASUS;4;200;8;106880;K-Boys
Tablet;ASUS;3;30;8;164002;Merget
Tablet;SAMSUNG;2;150;6;126105;Paint-UT
Laptop;HP;8;300;16;469606;BootStrap
Tablet;ASUS;2;50;8;144368;Slams
Laptop;SHARP;5;1000;16;267289;Adams
Tablet;SHARP;5;200;8;106387;Fill-Sol
Laptop;TECHNO;3;350;17;416302;Shio
Tablet;LENOVO;5;150;8;176883;Alig-IT
Laptop;TECHNO;5;300;12;421717;IT-Solu
Tablet;DELL;2;30;9;154109;Formaay
Laptop;SONY;7;1000;14;349248;Mat-IT
Tablet;DELL;4;200;8;122381;Center-tech
Tablet;DELL;1;30;7;134835;BootStrap
Tablet;SHARP;4;150;6;159688;K-Boys
Laptop;SONY;4;1000;14;474477;Jumbo
Tablet;SHARP;2;30;8;132684;Formaay
Tablet;SONY;5;30;9;159658;Mat-IT
Tablet;ACER;5;200;6;122494;CC-Sly
Tablet;HP;2;30;7;158362;Formaay
Tablet;HP;4;30;7;64146;Mat-IT
Tablet;SONY;3;200;8;193922;Shyles
Laptop;LENOVO;8;500;10;220808;Paint-UT
Laptop;DELL;3;350;13;473525;Cler-IT
Tablet;SAMSUNG;1;150;6;118014;Paint-UT
Laptop;SAMSUNG;7;750;10;355741;Adedex
Laptop;SHARP;2;350;17;389672;K-Boys
Laptop;TECHNO;4;250;12;222990;Alig-IT
Tablet;SHARP;3;30;8;154264;Bold-Sol
Tablet;ASUS;2;50;8;104721;K-Boys
Laptop;SAMSUNG;8;350;17;230795;CompSer
Tablet;SAMSUNG;1;200;6;164721;Mat-IT
Tablet;ASUS;2;50;6;174884;Mat-IT
Tablet;ASUS;4;50;9;61409;Yellow-Ko
Laptop;TECHNO;2;1000;15;284650;Bouiy
Tablet;HP;2;150;6;107322;Paint-UT
Tablet;HP;4;50;7;148959;Jumbo
Laptop;DELL;8;300;17;420685;Bold-Sol
Laptop;TECHNO;8;250;10;200637;Shio
Laptop;ASUS;7;750;11;349267;Adams
Laptop;LENOVO;8;350;11;411858;Slams
Laptop;SHARP;7;1000;17;343757;Shyles
Laptop;SONY;8;250;11;476496;Shio
Laptop;LENOVO;7;1000;14;476770;Center-tech
Laptop;SONY;2;1000;13;216642;Slams
Laptop;SHARP;3;250;14;227885;Alig-IT
Tablet;ASUS;3;50;6;129485;Oshod-Connect
Laptop;DELL;3;250;16;467783;Cler-IT
Tablet;SHARP;1;50;9;121346;IT-Solu
Tablet;LENOVO;4;150;6;58483;Mat-IT
Tablet;SAMSUNG;5;50;8;133143;Shio
Tablet;ACER;3;150;7;170095;Center-tech
Laptop;SHARP;4;500;16;351750;Adedex
Laptop;DELL;6;500;17;369209;Jumbo
Tablet;SHARP;5;30;6;186564;Fill-Sol
Laptop;SHARP;7;350;16;412535;Alig-IT
Tablet;DELL;1;150;8;58091;Cutti
Tablet;LENOVO;4;200;7;169607;Bouiy
Laptop;SONY;2;250;17;356744;Formaay
Laptop;ASUS;7;500;12;396531;Fill-Sol
Laptop;SONY;6;500;14;442636;CompSer
Tablet;SHARP;3;150;7;135531;Cutti
Tablet;DELL;1;200;7;118513;K-Boys
Tablet;SHARP;5;200;6;58544;CC-Sly
Laptop;TECHNO;2;350;16;270190;Tex--y
Tablet;ACER;1;200;9;170105;Jumbo
Tablet;SHARP;3;30;8;89418;Yellow-Ko
Tablet;SHARP;4;50;8;185932;Cutti
Tablet;TECHNO;4;200;7;73862;Oshod-Connect
Tablet;ASUS;3;30;9;100260;Cler-IT
Tablet;LENOVO;3;50;7;154661;Oshod-Connect
Tablet;SONY;5;50;7;151301;Adams
Tablet;SONY;4;200;8;140139;Mat-IT
Laptop;SONY;6;750;10;452427;Jumbo
Tablet;DELL;5;200;9;50632;K-Boys
Laptop;SHARP;5;350;13;475693;Bouiy
Tablet;SAMSUNG;1;30;7;69842;Oshod-Connect
Tablet;SHARP;3;30;9;113735;Cutti
Laptop;SAMSUNG;6;300;16;377934;Bouiy
Laptop;SONY;5;500;12;350694;Cler-IT
Laptop;TECHNO;3;750;11;490831;Bold-Sol
Laptop;DELL;8;750;10;463242;Adedex
Tablet;TECHNO;1;200;8;179064;Shio
Laptop;TECHNO;4;750;13;340578;Shio
Laptop;LENOVO;8;300;10;285627;Jumbo
Laptop;HP;6;500;15;229029;Yellow-Ko
Laptop;ASUS;5;300;13;309977;Shio
Laptop;SAMSUNG;6;250;11;353621;Oshod-Connect
Laptop;DELL;2;1000;14;473917;Adedex
Tablet;DELL;1;200;9;165191;CompSer
Tablet;SHARP;3;200;7;104361;Bold-Sol
Laptop;DELL;7;1000;16;425752;Formaay
Tablet;HP;4;200;7;90843;Merget
Laptop;TECHNO;2;750;17;454184;Formaay
Laptop;SONY;2;1000;13;221058;Alig-IT
Laptop;LENOVO;4;750;14;475984;Shyles
Laptop;TECHNO;8;750;12;437921;Bouiy
Tablet;SHARP;4;30;8;83393;IT-Solu
Tablet;SAMSUNG;2;150;6;94648;Tex--y
Laptop;LENOVO;2;1000;15;283736;Slams
Laptop;ACER;8;750;17;305114;Insert-Media
Laptop;ACER;7;500;17;449690;Formaay
Laptop;SONY;8;1000;14;481814;CC-Sly
Laptop;LENOVO;2;500;12;269526;BootStrap
Tablet;DELL;5;50;7;194842;Fill-Sol
Tablet;DELL;1;200;7;191590;Shyles
Tablet;LENOVO;2;150;7;96965;Insert-Media
Laptop;ACER;3;300;17;232946;Bold-Sol
Laptop;SAMSUNG;6;750;13;231135;Merget
Tablet;ASUS;5;30;8;105244;BootStrap
Laptop;HP;6;300;15;494240;Jumbo
Tablet;SHARP;5;150;7;192191;Slams
Tablet;DELL;1;150;9;92817;Adedex
Laptop;SHARP;2;500;17;263564;Paint-UT
Tablet;TECHNO;4;150;7;175810;CompSer
Tablet;ACER;5;50;9;115854;Mat-IT
Laptop;HP;5;500;11;357982;Jumbo
Laptop;ACER;5;300;11;301166;Adams
Laptop;SAMSUNG;3;500;17;344173;Bold-Sol
Laptop;ASUS;5;250;11;466467;Mat-IT
Tablet;HP;2;200;9;152444;Adams
Tablet;HP;4;200;9;157344;Tex--y
Tablet;LENOVO;3;200;6;180091;IT-Solu
Laptop;HP;2;250;17;479484;Bold-Sol
Laptop;DELL;7;500;14;323826;CompSer
Laptop;LENOVO;5;350;10;293565;Paint-UT
Tablet;ACER;4;200;6;116152;Adams
Laptop;SAMSUNG;4;1000;17;326380;Shyles
Tablet;TECHNO;2;50;6;98780;Shio
Laptop;DELL;2;1000;13;263482;IT-Solu
Tablet;ASUS;1;150;8;81533;Cutti
Laptop;ASUS;7;250;16;412546;K-Boys
Laptop;DELL;7;350;11;349382;Yellow-Ko
Laptop;DELL;5;750;13;410252;Mat-IT
Tablet;SAMSUNG;4;30;7;55958;Jumbo
Laptop;LENOVO;2;350;11;402543;Formaay
Laptop;TECHNO;5;300;15;339363;Tex--y
Tablet;SAMSUNG;3;50;7;124852;Formaay
Laptop;TECHNO;6;350;16;459556;Bouiy
Tablet;LENOVO;2;50;8;56670;Adams
Laptop;SONY;6;350;10;485924;Shyles
Laptop;LENOVO;8;300;12;350979;Yellow-Ko
Tablet;DELL;4;200;8;154585;Cler-IT
Laptop;HP;5;750;17;435345;K-Boys
Tablet;SAMSUNG;5;50;6;54266;CC-Sly
Laptop;SONY;7;300;15;300629;Adedex
Laptop;HP;6;1000;12;266725;Slams
Tablet;TECHNO;3;200;7;132794;CompSer
Laptop;ACER;2;300;10;375083;Adedex
Tablet;ACER;3;150;6;68725;Bouiy
Tablet;SONY;1;50;7;135172;Jumbo
Tablet;ASUS;2;150;9;114021;Slams
Laptop;SAMSUNG;4;500;10;474956;Alig-IT
Laptop;ASUS;4;250;11;449864;Center-tech
Laptop;DELL;3;750;14;367322;Alig-IT
Laptop;SAMSUNG;3;1000;14;446995;Insert-Media
Laptop;SAMSUNG;3;250;16;238918;CompSer
Tablet;SONY;4;200;9;50806;Mat-IT
Tablet;ASUS;3;50;9;74118;CC-Sly
Tablet;TECHNO;3;50;7;87377;Slams
Laptop;ACER;5;750;13;429215;K-Boys
Tablet;ACER;5;200;8;51599;CC-Sly
Tablet;DELL;3;200;7;77087;Jumbo
Tablet;ACER;1;30;7;51018;CC-Sly
Laptop;SHARP;7;350;11;470166;CompSer
Tablet;HP;2;30;8;192556;Bold-Sol
Tablet;TECHNO;2;150;6;67008;BootStrap
Laptop;ASUS;2;750;13;306167;Bold-Sol
Tablet;SHARP;5;30;7;110203;K-Boys
Tablet;ACER;4;200;6;173068;Bouiy
Tablet;SONY;1;50;6;133141;Slams
Tablet;TECHNO;1;50;9;155092;Bouiy
Laptop;ACER;4;300;11;350728;Fill-Sol
Laptop;SONY;4;250;14;386608;Tex--y
Laptop;SAMSUNG;4;500;13;227770;Shyles
Laptop;SHARP;5;250;10;454122;Tex--y
Laptop;SAMSUNG;5;300;15;236375;Insert-Media
Tablet;HP;1;150;9;146266;Oshod-Connect
Tablet;ASUS;3;200;7;165367;Bold-Sol
Tablet;SHARP;3;50;7;101755;Cutti
Laptop;SAMSUNG;2;350;11;468682;Oshod-Connect
Laptop;HP;7;250;16;272372;CompSer
Laptop;TECHNO;5;300;10;440384;Adedex
Tablet;HP;5;150;6;170267;Bouiy
Tablet;ASUS;2;150;9;155765;Shyles
Laptop;HP;5;500;13;471472;Cler-IT
Tablet;TECHNO;3;30;7;75847;Shyles
Laptop;LENOVO;3;500;16;329958;Shio
Laptop;SONY;8;250;12;205361;Adams
Laptop;DELL;2;350;16;319000;Paint-UT
Tablet;TECHNO;3;50;7;110756;Yellow-Ko
Tablet;SHARP;4;150;6;65503;Bouiy
Laptop;ASUS;6;750;15;297627;Yellow-Ko
Laptop;HP;2;250;16;283458;Adedex
Tablet;HP;3;200;6;88707;CC-Sly
